country1,country2,ltrade,lgdp1,lgdp2,ldist
"United States","United Kingdom",10.53018,30.25378,28.40305,8.373431
"United States","Austria",8.536859,30.25378,26.51754,8.544995
"United States","Belgium-Luxembourg",10.01962,30.25378,26.75993,8.446526
"United States","Denmark",8.204174,30.25378,25.9677,8.447253
"United States","France",10.27665,30.25378,28.36141,8.469217
"United States","Germany",11.02175,30.25378,28.70177,8.482822
"United States","Italy",9.978699,30.25378,28.1387,8.579779
"United States","Netherlands",10.13161,30.25378,27.17295,8.446342
"United States","Norway",8.445566,30.25378,26.23726,8.395908
"United States","Sweden",8.61831,30.25378,26.57867,8.425399
"United States","Switzerland",9.895441,30.25378,26.49484,8.508967
"United States","Canada",12.47187,30.25378,27.92483,7.326815
"United States","Japan",11.36139,30.25378,29.05393,8.736323
"United States","Finland",7.928968,30.25378,25.89052,8.462098
"United States","Greece",6.544318,30.25378,26.13842,8.674458
"United States","Iceland",5.762449,30.25378,23.24902,8.177095
"United States","Ireland",9.530899,30.25378,25.85234,8.328489
"United States","Malta",5.313035,30.25378,22.97927,8.650475
"United States","Portugal",7.318853,30.25378,26.03465,8.428039
"United States","Spain",9.080242,30.25378,27.8508,8.463054
"United States","Turkey",8.956997,30.25378,27.56732,8.748031
"United States","",,30.25378,,8.62488
"United States","Australia",9.607299,30.25378,27.59781,9.15376
"United States","New Zealand",7.969378,30.25378,25.56404,8.963037
"United States","South Africa",8.794525,30.25378,26.72678,9.107792
"United States","Argentina",8.650781,30.25378,,8.59403
"United States","Bolivia",6.86481,30.25378,24.51305,8.372037
"United States","Brazil",10.26153,30.25378,28.22175,8.360896
"United States","Chile",9.330989,30.25378,26.22287,8.513676
"United States","Colombia",9.667287,30.25378,26.68311,7.946234
"United States","Costa Rica",8.983011,30.25378,24.80505,7.646519
"United States","Dominican Republic",8.491353,30.25378,25.48104,7.626929
"United States","Ecuador",8.978416,30.25378,25.38836,8.015415
"United States","El Salvador",7.855751,30.25378,24.40613,7.461328
"United States","Guatemala",8.346068,30.25378,25.23531,7.381504
"United States","Haiti",6.781438,30.25378,23.36568,7.587515
"United States","Honduras",8.067117,30.25378,24.1789,7.445051
"United States","Mexico",12.26498,30.25378,28.02359,6.981336
"United States","Nicaragua",7.331078,30.25378,23.41662,7.536803
"United States","Panama",8.019077,30.25378,24.60495,7.724391
"United States","Paraguay",6.525928,30.25378,24.12724,8.49884
"United States","Peru",8.910274,30.25378,26.26739,8.182652
"United States","Uruguay",6.848948,30.25378,24.51897,8.623508
"United States","Venezuela, RB",9.833794,30.25378,26.37677,7.947982
"United States","Antigua and Barbuda",4.172263,30.25378,20.92471,7.851423
"United States","Bahamas, The",7.505196,30.25378,23.07536,7.349339
"United States","Aruba",5.870713,30.25378,,7.791227
"United States","Barbados",5.399676,30.25378,,7.959195
"United States","Bermuda",5.561897,30.25378,,7.523417
"United States","Dominica",3.5622,30.25378,20.04025,7.889004
"United States","",1.824943,30.25378,,8.795166
"United States","Greenland",2.516551,30.25378,,8.020516
"United States","Grenada",3.823615,30.25378,21.1897,7.941125
"United States","",,30.25378,,7.869705
"United States","",,30.25378,,8.195398
"United States","Guyana",5.791762,30.25378,22.06566,8.100265
"United States","Belize",5.058532,30.25378,21.85498,7.324012
"United States","Jamaica",6.949824,30.25378,23.88885,7.494928
"United States","",,30.25378,,7.908125
"United States","",6.627907,30.25378,,7.817737
"United States","St. Kitts and Nevis",4.606495,30.25378,20.03685,7.827847
"United States","St. Lucia",5.644143,30.25378,21.42295,7.919374
"United States","",-1.89116,30.25378,,7.66526
"United States","St. Vincent and the Grenadines",3.741196,30.25378,20.44489,7.929238
"United States","Suriname",5.509349,30.25378,22.54653,8.155876
"United States","Trinidad and Tobago",8.211704,30.25378,24.29274,7.971511
"United States","Bahrain",6.558121,30.25378,24.1657,8.926685
"United States","Cyprus",4.18939,30.25378,23.6839,8.772524
"United States","Iran, Islamic Rep.",4.932019,30.25378,27.37002,8.884487
"United States","Iraq",8.736879,30.25378,25.81387,8.841973
"United States","Israel",9.477635,30.25378,26.10455,8.811105
"United States","Jordan",7.110395,30.25378,24.16978,8.821669
"United States","Kuwait",8.736131,30.25378,,8.87898
"United States","Lebanon",6.198291,30.25378,24.7594,8.797076
"United States","Oman",6.95296,30.25378,25.06968,8.988913
"United States","Qatar",7.718051,30.25378,25.71467,8.933334
"United States","Saudi Arabia",10.28159,30.25378,27.23021,8.912651
"United States","",,30.25378,,9.004958
"United States","Syrian Arab Republic",2.849213,30.25378,,8.797723
"United States","United Arab Emirates",9.368808,30.25378,,8.955146
"United States","Egypt, Arab Rep.",7.985789,30.25378,26.74781,8.821357
"United States","",,30.25378,,8.981955
"United States","Yemen, Rep.",5.539448,30.25378,24.62759,9.001871
"United States","West Bank and Gaza",.938469,30.25378,,8.809533
"United States","Afghanistan",6.457789,30.25378,24.42056,8.907412
"United States","Bangladesh",7.712194,30.25378,26.25545,9.001841
"United States","Bhutan",.2161869,30.25378,21.97196,8.971393
"United States","Brunei Darussalam",5.53207,30.25378,23.61612,9.088784
"United States","Myanmar",4.334297,30.25378,,9.007889
"United States","Cambodia",7.245266,30.25378,24.23562,9.062327
"United States","Sri Lanka",7.028334,30.25378,25.39614,9.139095
"United States","Hong Kong SAR, China",10.12814,30.25378,26.42338,8.961614
"United States","India",10.18021,30.25378,29.19285,9.035882
"United States","Indonesia",9.311387,30.25378,27.76908,9.123631
"United States","Timor-Leste",-.4840222,30.25378,21.294,9.114378
"United States","Korea, Rep.",10.6828,30.25378,27.98651,8.782645
"United States","Lao PDR",3.139943,30.25378,23.74945,9.024147
"United States","Macao SAR, China",5.347313,30.25378,24.55273,8.964493
"United States","Malaysia",9.661992,30.25378,26.69788,9.110628
"United States","Maldives",3.067997,30.25378,21.43171,9.159343
"United States","Nepal",3.826922,30.25378,24.34193,8.970246
"United States","Pakistan",7.70329,30.25378,26.87241,8.942945
"United States","Palau",,30.25378,19.59527,8.969895
